flop_class,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,policy,mean_frequency_distance,mean_local_loss_bb,max_combo_loss_bb
ABB,Top pair,3,11,0.8188900000000001,0.7626629333333333,0.23733706666666662,F,0.3236414545454545,0.009064949269141165,0.098118480516
ABB,Second pair + BDFD,4,24,0.17374499999999998,0.9740894409090909,0.025910559090909092,F,0.02720829166666666,0.0,0.0
ABB,Top pair + BDFD,6,76,2.830943,0.0005872463369963369,0.9994127456501832,C,0.0006563881578947394,0.0,0.0
ABB,Third pair + BDFD,1,10,0.12965699999999997,1.0,0.0,F,0.0,0.0,0.0
ABB,Air + Gutshot + BDFD,6,74,4.987792000000001,0.20691954470899468,0.7930804267195767,C,0.20125716216216216,0.005503551322695384,0.4259874524688
ABB,Weak pair + Gutshot,5,31,8.65631,0.6829956833333334,0.3170043166666667,F,0.32278806451612896,0.08265997014368054,0.594079140072
ABB,Two pair+,6,187,26.527780999999997,0.0,1.0,C,0.0,0.0,0.0
ABB,Third pair + Gutshot,6,111,27.495355,0.6098075041666666,0.39019252708333346,F/C,0.2780240495495494,0.02099886865813451,0.2543707583158
ABB,Second pair + Gutshot,6,105,3.911713999999999,0.05347651402116402,0.9465234952380951,C,0.0403457857142857,0.0,0.0
ABB,Top pair + Gutshot,6,39,1.860099,0.0,1.0,C,0.0,0.0,0.0
ABB,Two pair+ + BDFD,6,33,10.096243999999999,0.0,1.0,C,0.0,0.0,0.0
ABB,Second pair + Gutshot + BDFD,6,18,1.2931670000000002,0.0,1.0,C,0.0,0.0,0.0
ABB,Top pair + Gutshot + BDFD,6,17,0.605487,0.0,1.0,C,0.0,0.0,0.0
ABB,Third pair + Gutshot + BDFD,5,17,0.44265799999999994,5.15e-06,0.9999948499999999,C,6.058823529410712e-06,0.0,0.0
A[K/Q]x,Second pair,15,109,0.7130839999999996,0.5972832002635927,0.4027167864030741,F/C,0.3201631055045872,0.0426011384437282,0.43380349999999995
A[K/Q]x,Second pair + BDFD,16,194,18.977384000000008,4.572115384615384e-06,0.9999954278846154,C,3.2886597938142177e-06,0.0,0.0
A[K/Q]x,Top pair + BDFD,16,228,68.18069499999997,0.0,1.0,C,0.0,0.0,0.0
A[K/Q]x,Third pair,16,72,109.91978199999998,0.9961464053030303,0.003853594696969696,F,0.011421486111111108,6.812009805710235e-05,0.048598818259999996
A[K/Q]x,Third pair + BDFD,16,197,257.07836699999996,0.7349339046617445,0.2650660953382555,F,0.27489676142131997,0.002113034486689271,0.2872280324
A[K/Q]x,Two pair+,16,194,177.37071699999993,0.0,1.0,C,0.0,0.0,0.0
A[K/Q]x,Two pair+ + BDFD,16,36,27.977703999999996,0.0,1.0,C,0.0,0.0,0.0
A[K/Q]x,Air + Gutshot,16,438,71.43919299999999,0.2593834650591387,0.7406165235387391,C,0.26792359589041087,0.0400078334253293,0.3223201314419
A[K/Q]x,Air + Gutshot + BDFD,16,204,147.43970700000003,0.0,1.0,C,0.0,0.0,0.0
A[K/Q]x,Top pair,16,250,35.49098400000001,0.0,1.0,C,0.0,0.0,0.0
A[K/Q]x,Weak pair,13,105,8.470640000000003,1.0,0.0,F,0.0,0.0,0.0
ABB,Air + OESD,3,5,0.34519599999999995,0.0,1.0,C,0.0,0.0,0.0
ABB,Air + OESD + BDFD,3,21,3.7475090000000004,3.703703703703704e-07,0.9999996296296296,C,4.761904761893926e-07,0.0,0.0
A[K/Q]x,Air + OESD,2,26,0.231798,0.0,1.0,C,0.0,0.0,0.0
A[K/Q]x,Air + OESD + BDFD,2,6,0.9837769999999999,0.0,1.0,C,0.0,0.0,0.0
A[J-T][9-5],Top pair + BDFD,10,156,35.041571999999995,0.0,1.0,C,0.0,0.0,0.0
A[J-T][9-5],Third pair + BDFD,10,150,229.8696029999999,0.8009480870818072,0.19905192369810745,F,0.19907681999999996,0.004163202274529316,0.38127300000000003
A[J-T][9-5],Air + Gutshot + BDFD,10,150,88.17131399999995,0.1057101098901099,0.8942898907509157,C,0.08622128666666666,0.05878752538510627,0.9316444
A[J-T][9-5],Air + OESD,5,70,11.654074000000001,0.0,1.0,C,0.0,0.0,0.0
A[J-T][9-5],Second pair,10,266,8.818926999999999,0.8867736855183177,0.11322630719001552,F,0.12041535714285712,0.05215893443900681,0.437294562705
A[J-T][9-5],Air + OESD + BDFD,5,33,36.30384499999999,0.0,1.0,C,0.0,0.0,0.0
A[J-T][9-5],Second pair + BDFD,10,58,10.499684000000002,3.0175000000000005e-05,0.999969825,C,4.162068965517265e-05,0.0,0.0
A[J-T][9-5],Two pair+,10,162,161.32856699999996,0.0,1.0,C,0.0,0.0,0.0
A[J-T][9-5],Third pair,9,38,37.38659799999999,0.9976451818181817,0.002354818181818182,F,0.0013253684210526324,0.0,0.0
A[J-T][9-5],Two pair+ + BDFD,10,27,27.101278,0.0,1.0,C,0.0,0.0,0.0
A[J-T][9-5],Weak pair,5,30,0.165252,1.0,0.0,F,0.0,0.0,0.0
A[J-T][9-5],Top pair,10,208,20.12056200000001,0.0,1.0,C,0.0,0.0,0.0
A[J-T][9-5],Air + Gutshot,10,308,110.97487099999994,0.40111701297214913,0.5988829855388643,F/C,0.28222625649350674,0.08423827346726177,0.4859305
A[J-T][4-2],Air + Gutshot,6,239,169.803205,0.563859654887305,0.43614034083919084,F/C,0.2886933451882845,0.06697018078950388,0.52617
A[J-T][4-2],Third pair,6,25,155.35931899999997,1.0,0.0,F,0.0,0.0,0.0
A[J-T][4-2],Air + Gutshot + BDFD,6,108,165.32155599999996,9.18888888888889e-05,0.9999081203703705,C,9.188425925925933e-05,0.0,0.0
A[J-T][4-2],Top pair + BDFD,6,107,51.51999900000001,0.0,1.0,C,0.0,0.0,0.0
A[J-T][4-2],Third pair + BDFD,6,63,174.0972610000001,0.7810580919973544,0.21894190800264549,F,0.2192447936507936,0.0031245521284879673,0.224410052825
A[J-T][4-2],Two pair+,6,88,224.56499200000002,0.0,1.0,C,0.0,0.0,0.0
A[J-T][4-2],Two pair+ + BDFD,6,12,23.492949000000003,0.0,1.0,C,0.0,0.0,0.0
A[J-T][4-2],Top pair,6,176,60.15798899999999,0.0,1.0,C,0.0,0.0,0.0
A[J-T][4-2],Second pair,6,178,18.342546999999996,0.831512807851967,0.1684872239908515,F,0.1803176685393259,0.025291008455647974,0.453980374209
A[J-T][4-2],Second pair + BDFD,6,53,12.725178999999999,0.005060851851851851,0.9949391481481481,C,0.005156339622641509,0.0,0.0
A[J-T][4-2],Weak pair,3,18,0.44250500000000004,1.0,0.0,F,0.0,0.0,0.0
A[J-T][9-5],Underpair,3,7,0.00043900000000000005,0.9992841111111112,0.0007158888888888888,F,0.0009204285714285698,0.0,0.0
A[J-T][4-2],Underpair,3,14,0.000707,0.9969886666666667,0.00301125,F,0.002581107142857141,0.0,0.0
A[9-7]x,Third pair,18,116,371.8063789999998,0.9984239710978835,0.0015760289021164023,F,0.0017817241379310348,5.574572736132986e-06,0.0053983015976
A[9-7]x,Second pair,18,186,120.09751999999999,0.8374735887786595,0.1625264156856261,F,0.17662407258064516,0.004484054195756466,1.02941
A[9-7]x,Air + Gutshot + BDFD,18,232,304.139516,0.050712036375661365,0.949287960537919,C,0.055062821120689665,0.022394164484737404,0.6214529830468
A[9-7]x,Air + OESD,10,45,46.79029699999999,0.0,1.0,C,0.0,0.0,0.0
A[9-7]x,Air + Gutshot,15,107,41.50365500000002,0.18572850038126362,0.8142714996187361,C,0.40929871028037396,0.21997881545698764,0.905029703662
A[9-7]x,Air + OESD + BDFD,10,63,173.22902799999994,0.0,1.0,C,0.0,0.0,0.0
A[9-7]x,Third pair + BDFD,18,197,129.52156799999997,0.9013603615863303,0.0986396457088436,F,0.08931378934010152,0.0022533601570766002,0.7083622374980001
A[9-7]x,Weak pair,18,376,72.09616599999997,1.0,0.0,F,0.0,0.0,0.0
A[9-7]x,Second pair + BDFD,18,212,40.547015000000016,0.12304696873173121,0.8769530312682687,C,0.12175512735849059,0.025945959029936783,0.5449862999999999
A[9-7]x,Top pair + BDFD,18,153,72.36979,0.0,1.0,C,0.0,0.0,0.0
A[9-7]x,Two pair+,18,144,404.686037,0.0,1.0,C,0.0,0.0,0.0
A[9-7]x,Two pair+ + BDFD,18,46,166.88097000000002,0.0,1.0,C,0.0,0.0,0.0
A[9-7]x,Underpair,18,115,0.777551,0.6420060736609069,0.35799393678543684,F/C,0.42353397391304354,0.5925784852073207,0.79486045
A[9-7]x,Top pair,18,507,139.06839299999996,0.0,1.0,C,0.0,0.0,0.0
A[9-7]x,Air + BDFD,17,286,181.42497699999998,0.9975470553806977,0.0024529446193022665,F,0.003108374125874126,0.0008169009407498198,0.065701439853
A[6-2]x,Air + Gutshot,10,52,48.629191000000006,0.5420024666666666,0.4579975333333334,F/C,0.4172658653846154,0.31091866497936704,0.8268718500000001
A[6-2]x,Third pair,10,32,70.96823300000001,0.9999990666666667,9.333333333333332e-07,F,6.87500000001211e-07,0.0,0.0
A[6-2]x,Air + Gutshot + BDFD,10,157,263.2829559999999,0.24613204416666665,0.7538679538888888,C,0.31748533439490456,0.16185331842062134,1.5422837475464999
A[6-2]x,Third pair + BDFD,10,62,64.19018799999998,0.9979993589285714,0.0020006339285714284,F,0.0032804919354838705,0.0,0.0
A[6-2]x,Weak pair,4,65,21.931706000000002,1.0,0.0,F,0.0,0.0,0.0
A[6-2]x,Air + OESD,6,12,26.593890000000002,0.0,1.0,C,0.0,0.0,0.0
A[6-2]x,Second pair,10,61,99.644532,0.9854819430555555,0.01451806111111111,F,0.019341836065573773,0.0002070300627505696,0.04843631778
A[6-2]x,Air + OESD + BDFD,6,36,106.15921999999998,0.0,1.0,C,0.0,0.0,0.0
A[6-2]x,Second pair + BDFD,10,112,102.441935,0.8943285181410257,0.10567145878205127,F,0.12414434374999996,0.009008384424709958,0.3273805919
A[6-2]x,Air + BDFD,10,352,162.32636699999998,1.0,0.0,F,0.0,0.0,0.0
A[6-2]x,Two pair+,10,93,272.61655199999996,9.7e-07,0.99999903,C,1.0430107526882459e-06,0.0,0.0
A[6-2]x,Two pair+ + BDFD,10,47,119.15717300000006,0.0,1.0,C,0.0,0.0,0.0
A[6-2]x,Underpair,10,246,72.97897900000004,0.9467679165041305,0.05323207992345976,F,0.040577144308943054,5.435443888685177e-07,0.386740424473
A[6-2]x,Top pair + BDFD,10,97,52.46321500000001,0.0006417033333333332,0.9993582966666666,C,0.0006579896907216501,0.0,0.0
A[6-2]x,Top pair,10,335,158.8817569999999,0.00972481270820156,0.9902751872917985,C,0.010180214925373136,0.005283931253481521,0.155390937676
A[6-2]x,Weak pair + Gutshot,5,48,66.87576299999999,0.9999507166666668,4.928333333333334e-05,F,4.4874999999999885e-05,0.0,0.0
A[6-2]x,Third pair + Gutshot,6,12,12.405683,0.17718141666666667,0.8228184999999999,C,0.1771814583333333,0.06688581796981585,0.23513959685919997
A[6-2]x,Second pair + Gutshot,6,12,11.489512,0.003131,0.9968690833333332,C,0.0031309583333333346,0.0,0.0
A[6-2]x,Top pair + Gutshot,6,12,1.6965029999999999,0.0,1.0,C,0.0,0.0,0.0
A[6-2]x,Second pair + Gutshot + BDFD,6,24,22.375215999999998,4.8958333333333335e-05,0.9999510416666667,C,4.895833333333179e-05,0.0,0.0
A[6-2]x,Top pair + Gutshot + BDFD,6,24,7.371751999999999,0.0,1.0,C,0.0,0.0,0.0
A[6-2]x,Third pair + Gutshot + BDFD,6,24,21.407388,0.00258125,0.99741875,C,0.002581249999999999,0.0,0.0
A[6-2]x,Air,4,22,0.002013,1.0,0.0,F,0.0,0.0,0.0
A[6-2]x,Underpair + Gutshot,3,24,13.099359999999997,0.9448959722222222,0.055104027777777766,F,0.07007454166666666,0.0053006674714656385,0.030102298923
BBB,A-high + Gutshot + BDFD,3,33,8.689664000000002,0.2525424272727273,0.7474575424242423,C,0.2416546212121212,0.05836632757126424,0.10868986219680002
BBB,Second pair,1,1,0.000135,1.0,0.0,F,0.0,0.0,0.0
BBB,Second pair + BDFD,2,4,0.0036049999999999997,1.0,0.0,F,0.0,0.0,0.0
BBB,Top pair + BDFD,3,22,0.8219510000000001,0.0027894333333333336,0.9972105666666667,C,0.0038037727272727264,0.0,0.0
BBB,Air + OESD + BDFD,4,42,6.299182,0.0,1.0,C,0.0,0.0,0.0
BBB,Third pair + BDFD,2,6,0.021952,1.0,0.0,F,0.0,0.0,0.0
BBB,Third pair + Gutshot,3,43,6.516437999999999,0.6775059722222223,0.32249402777777786,F,0.18951595348837214,0.00583345749597279,0.572080472496
BBB,Second pair + Gutshot + BDFD,4,6,0.03802200000000001,0.5750298333333334,0.42497025,F/C,0.4066585833333333,0.47899596114142184,1.24037
BBB,Top pair + Gutshot + BDFD,3,6,0.19237,0.0,1.0,C,0.0,0.0,0.0
BBB,Two pair+ + BDFD,4,27,19.484243,0.0,1.0,C,0.0,0.0,0.0
BBB,Third pair + Gutshot + BDFD,3,8,16.850222,0.8333333333333334,0.16666666666666666,F,0.25,3.227752904383099e-05,0.820206
BBB,Weak pair + OESD,2,12,2.2871769999999993,0.0,1.0,C,0.0,0.0,0.0
BBB,Two pair+,4,97,17.525267000000003,0.0,1.0,C,0.0,0.0,0.0
BBB,Second pair + OESD + BDFD,3,6,0.774204,0.0,1.0,C,0.0,0.0,0.0
BBB,Third pair + OESD + BDFD,3,6,0.927396,0.0,1.0,C,0.0,0.0,0.0
BBB,Top pair + OESD + BDFD,3,5,0.116701,0.0,1.0,C,0.0,0.0,0.0
BBB,Second pair + Gutshot,4,15,0.41733100000000006,0.0,1.0,C,0.0,0.0,0.0
BBB,Third pair + OESD,3,8,0.6808069999999999,0.0,1.0,C,0.0,0.0,0.0
BBB,Second pair + OESD,2,12,0.28446,0.0,1.0,C,0.0,0.0,0.0
BBx,Top pair + BDFD,47,562,30.28149100000001,0.0,1.0,C,0.0,0.0,0.0
BBx,Third pair,47,209,77.178015,0.996716960283688,0.003283039716312057,F,0.003665803827751196,0.0,0.0
BBx,Air + Gutshot + BDFD,47,379,52.56708200000003,0.6252629063345327,0.37473709669008154,F/C,0.4409681583113457,0.5037710651510565,1.3225315
BBx,Second pair + BDFD,44,460,14.136423999999993,3.555627705627706e-05,0.9999644437229436,C,4.081304347826095e-05,0.0,0.0
BBx,Two pair+,47,720,68.80884299999994,0.0,1.0,C,0.0,0.0,0.0
BBx,Third pair + Gutshot,4,7,0.68568,0.5,0.5,F/C,0.5,0.6206035864192481,0.6223076
BBx,Third pair + Gutshot + BDFD,7,21,0.9593479999999999,0.0,1.0,C,0.0,0.0,0.0
BBx,Two pair+ + BDFD,47,131,33.55711600000001,0.0,1.0,C,0.0,0.0,0.0
BBx,Second pair + Gutshot,9,70,2.6646539999999996,0.018518518518518517,0.9814814814814814,C,0.014285714285714285,0.10402448499771455,0.41084370000000003
BBx,Top pair + Gutshot,9,72,1.8511870000000004,0.0,1.0,C,0.0,0.0,0.0
BBx,A-high + Gutshot,34,629,82.43208700000001,0.5541634618615242,0.44583652923243294,F/C,0.35573300000000013,0.11289140613283813,0.303671330745
BBx,Second pair + Gutshot + BDFD,8,30,3.481071,0.0,1.0,C,0.0,0.0,0.0
BBx,Top pair + Gutshot + BDFD,9,29,2.784858,0.0,1.0,C,0.0,0.0,0.0
BBx,A-high + Gutshot + BDFD,39,179,9.871036000000002,0.07697667094017094,0.923023329059829,C,0.05593591061452514,0.030694800551220296,1.1993263
BBx,Weak pair + Gutshot,5,28,0.619226,0.2683010866666667,0.7316989133333334,C,0.2145314285714286,0.004491948704124186,1.6694389
