flop_category,hand_category,boards_present,active_combos,reach_sum,mean_fold_frequency,mean_call_frequency,policy,mean_local_loss_bb,max_combo_loss_bb
A-high high,Weak pair,22,1247,10571.130173,0.8486256983721394,0.15137430188038575,F,0.023165308962173215,1.0093400000000001
A-high high,Top pair,22,1200,16567.64491999999,0.22480058328349284,0.7751994160685804,C,0.08568377010356884,1.6028648
A-high high,Air,22,700,2671.451981,0.9803438843463804,0.019656115653619455,F,0.002128434992032806,0.638185
A-high high,Second pair,22,886,7142.475292000001,0.6567289201045714,0.34327108594710043,F,0.4173903915722737,2.74267
A-high high,Air + draw,22,728,7853.854973000005,0.19539712982544605,0.8046028779130588,C,0.034847841043943416,1.8295158
A-high high,Third pair,18,243,1837.8993840000003,0.2308224562610229,0.7691775483686066,C,0.19320707089791783,1.910775
A-high high,Two pair+,22,625,9790.439452000006,2.9507954545454544e-05,0.9999704920454545,C,0.0,0.0
A-high high,Underpair,11,72,559.3106319999997,0.13799693939393942,0.8620030757575755,C,0.0,0.0
A-high medium,Weak pair,16,681,4944.213299000004,0.8524668546535451,0.14753314640052229,F,0.014765656763196824,0.587262174822
A-high medium,Top pair,16,910,11226.221892999998,0.17803200646146614,0.8219679891329887,C,0.047875693691852704,1.1885857
A-high medium,Air,16,613,3589.2526150000012,0.9760584547475962,0.02394154234775641,F,0.005666215411309015,0.5456873342139998
A-high medium,Air + draw,16,855,11896.700717000012,0.348888796946058,0.651111198377889,C,0.006426099845937591,0.3414543865821
A-high medium,Third pair,12,117,815.3911450000004,0.1506637726851852,0.849336227314815,C,0.04717703562218935,0.7638752
A-high medium,Two pair+,16,326,6376.720875000003,1.5625000000000003e-08,0.999999984375,C,0.0,0.0
A-high medium,Second pair,16,495,3008.855624000002,0.4920984097222222,0.5079016006944445,F/C,0.3297015684865997,1.254315
A-high medium,Underpair,16,164,408.0389239999999,0.49293067518939393,0.5070693143939393,F/C,0.047165345256669634,0.35318375
A-high low,Weak pair,27,578,612.0631999999995,0.4317320704777704,0.5682679277788742,F/C,0.37877922473522424,2.5719149999999997
A-high low,Top pair,28,1746,14039.05711999999,0.20746782103964242,0.7925321784124473,C,0.00537469777262323,0.9182693000000001
A-high low,Air,28,3060,20344.00617899999,0.8376395791433776,0.1623604232203804,F,0.05260496537040153,2.14483
A-high low,Air + draw,26,244,1320.76021,0.0,1.0,C,0.0,0.0
A-high low,Third pair,14,93,337.14249,0.050852247619047615,0.9491477444444445,C,0.020451081187248955,0.8854832050113
A-high low,Two pair+,28,380,4732.885096000004,0.0,1.0,C,0.0,0.0
A-high low,Second pair,27,298,1427.2514780000006,0.0004855664609053498,0.9995144335390946,C,0.0,0.0
A-high low,Underpair,28,802,2989.062646999996,0.017375941525135073,0.9826240611091815,C,0.0008623344338824097,0.1222230317946
Broadway,Weak pair,51,2113,12734.667721000023,0.9485615923494928,0.05143840746329149,F,0.04112223607876188,3.4381
Broadway,A-high + draw,46,1184,23442.970769999978,0.39782922201086945,0.6021707671195654,F/C,0.20969311675636387,1.33111915
Broadway,Air,51,1049,6478.966384999997,0.9999911001136687,8.899886331344133e-06,F,4.234678358928237e-09,1.8170603099999998e-05
Broadway,Top pair,51,2209,30875.767207999994,0.21736793367058385,0.7826320695357765,C,0.02264670888501867,1.8469878999999998
Broadway,Air + draw,51,1074,13141.87350300001,0.1935801032012683,0.8064198959817384,C,0.051144462111433295,2.7729836
Broadway,Two pair+,51,1143,19044.976145000015,0.0,1.0,C,0.0,0.0
Broadway,Third pair,51,486,4240.822389000001,0.27772917118207097,0.7222708230445086,C,0.10187451813539927,2.1566902
Broadway,Second pair,51,1510,12080.554998000012,0.32745150567097253,0.6725484933621112,C,0.07441805379963717,1.5351036
Broadway,Overpair,51,492,12283.718799999995,0.01734854738562092,0.9826514471677561,C,2.7061823541843018e-05,0.006441405019999999
Broadway,A-high,47,1282,22659.561730999976,1.0,0.0,F,0.0,0.0
Broadway,Underpair,25,198,2552.9144200000005,0.2232547066666667,0.7767453000000001,C,0.00542086803509177,0.0587623962734
K/Q-high,Weak pair,47,878,2075.9832190000034,0.6233140297380392,0.37668597122140324,F/C,0.16703912605160603,0.8922700000000001
K/Q-high,A-high,56,3292,51297.902833000066,0.8811991096063936,0.11880089135038097,F,0.008311613064718016,0.572759
K/Q-high,Air,56,2730,26372.52834200003,0.7975655388405846,0.2024344611211075,F,0.08951398654419929,1.85348
K/Q-high,Air + draw,50,920,10440.96955599999,0.0031990106666666663,0.9968009898333334,C,1.6634982783359627e-05,0.0081268335808
K/Q-high,Top pair,56,2956,36159.51636199998,0.0671177649708772,0.9328822387170526,C,0.0011927256120931194,0.20201401348700002
K/Q-high,Third pair,56,292,2207.528195000001,0.006547905554267161,0.9934520944457328,C,0.0016892562525164623,0.2966865419847
K/Q-high,Two pair+,56,616,10183.178637999988,0.0,1.0,C,0.0,0.0
K/Q-high,Second pair,56,676,5718.214307999994,1.9338492063492064e-05,0.9999806615079365,C,0.0,0.0
K/Q-high,Underpair,56,1425,10168.136429000004,0.015973266156462586,0.9840267328514739,C,0.0013311105146258204,0.190189054712
K/Q-high,Overpair,56,504,13830.930800000004,0.0003213809523809523,0.9996786190476193,C,0.0,0.0
K/Q-high,A-high + draw,13,128,2658.981369999998,0.06058142067307692,0.9394185817307693,C,0.03102754032606998,0.5266911000000001
Broadway,2 overcards + draw,23,592,13456.28809999999,0.30657997735507253,0.6934200108695653,C,0.0015546027189944599,0.0445905850556
K/Q-high,2 overcards,28,364,4194.048758000003,0.9986829368131868,0.0013170631868131867,F,0.0,0.0
K/Q-high,2 overcards + draw,20,51,328.99084299999987,0.06388196666666666,0.9361180499999999,C,1.923922325536739e-05,0.5518639000000001
Middle connected,Weak pair,12,124,323.1688919999997,0.9722222222222223,0.027777777777777776,F,0.013909024178849505,1.23159
Middle connected,A-high,25,439,6094.107485999995,0.8381737707239381,0.16182622844272843,F,0.01972203269603271,0.44608499999999995
Middle connected,Air,20,539,4471.985715,0.7285652524657521,0.27143474794620437,F,0.07996248079164617,1.01637
Middle connected,Air + draw,26,322,3172.5828669999996,0.10015809304029305,0.899841906959707,C,0.10831123686763597,2.5362267
Middle connected,Two pair+,26,386,6510.907237999998,0.0,1.0,C,0.0,0.0
Middle connected,A-high + draw,23,214,4596.107693999998,0.13487980559006213,0.8651201944099379,C,0.0821150290794612,2.6794357
Middle connected,Second pair,26,197,2231.2592450000006,0.020513012820512818,0.9794869871794872,C,0.07116372117053299,1.0311667999999998
Middle connected,Third pair,23,87,921.861798,0.020007217391304347,0.9799927826086956,C,0.02503129988814145,1.526075
Middle connected,Top pair,26,680,10221.938875999995,0.04668796897944431,0.9533120331379707,C,0.012217300824915216,0.529435
Middle connected,Overpair,26,672,15168.596550000007,0.008229378632478633,0.9917706192307693,C,4.502106543570433e-05,0.014002442416799998
Middle connected,2 overcards + draw,26,851,12266.833133000004,0.10793569234186033,0.8920643057309386,C,0.042167736190145015,0.9190505999999999
Middle connected,Underpair,22,444,4202.638541999996,9.74025974025974e-09,0.9999999902597403,C,0.0,0.0
Middle connected,2 overcards,25,1822,26333.37072900003,0.9969406643696814,0.003059336143138879,F,0.0002304425617842152,0.27563499999999996
Middle dry,Weak pair,54,739,1542.8785389999998,0.4901777015673644,0.5098222984326356,F/C,0.763743416577579,3.5829999999999997
Middle dry,A-high,67,1574,26550.313934,0.7029672369529447,0.297032766964966,F,0.053072765021937196,0.8009489999999999
Middle dry,Air,61,1561,15237.73705300001,0.6306298652993023,0.36937013702371013,F/C,0.3346688229914242,1.84176865
Middle dry,Air + draw,65,883,8340.087577000008,0.014884067992495309,0.9851159320075047,C,0.006134134578398858,2.8782082
Middle dry,Two pair+,67,691,13666.103099999997,0.0,1.0,C,0.0,0.0
Middle dry,Third pair,67,277,4036.650998000001,0.016009683250414592,0.9839903217247099,C,0.0009810236379153834,0.303407987206
Middle dry,Second pair,67,765,7919.889241999991,0.0,1.0,C,0.0,0.0
Middle dry,A-high + draw,22,180,4482.090810999997,0.04793394318181818,0.9520660568181818,C,0.007226513498141902,2.2255127000000003
Middle dry,Underpair,52,726,7571.9380999999985,0.0,1.0,C,0.0,0.0
Middle dry,Top pair,67,1813,30110.284396000014,0.0050135926406709875,0.9949864087785653,C,0.00012916789851180103,0.19314800000000001
Middle dry,Overpair,67,1692,42373.69808999991,0.00019155675787728028,0.99980844407131,C,0.0,0.0
Middle dry,2 overcards + draw,67,1880,34490.44517099997,0.020834354763279005,0.9791656446925667,C,0.003227250095117689,0.7839314
Middle dry,2 overcards,67,4807,74745.61117400012,0.9953533482127516,0.004646651331027345,F,7.456006973402719e-05,0.235442
Low,A-high,7,30,84.97490900000001,0.739692011904762,0.2603079880952381,F,0.16124853705095452,0.334457
Low,A-high + draw,15,110,1522.375808,0.008333291666666666,0.9916667083333334,C,1.2621145336071973e-08,0.533725731358
Low,Third pair,20,67,657.507906,1.1333333333333334e-06,0.9999988666666667,C,0.0,0.0
Low,Two pair+,20,252,1794.3237249999972,0.0,1.0,C,0.0,0.0
Low,Second pair,20,125,1136.7622880000001,0.0,1.0,C,0.0,0.0
Low,Top pair,20,216,1856.4393190000003,1.386875e-05,0.99998613125,C,0.0,0.0
Low,Overpair,20,930,10715.047250000003,2.7536607142857144e-05,0.9999724633928573,C,0.0,0.0
Low,2 overcards + draw,20,1475,9380.783690999997,0.24078369234467695,0.7592163072098342,C,0.05302826793485971,0.7589638
Low,2 overcards,20,2203,12982.444799999976,0.9946150900989542,0.005384908246282455,F,0.0004040950637093821,0.855049
Low,Weak pair,8,54,46.79151199999999,0.0,1.0,C,0.0,0.0
Low,Air + draw,12,68,402.96926699999983,0.0,1.0,C,0.0,0.0
Low,Air,4,24,133.68177899999998,0.34219265625,0.65780734375,C,0.08926934226917849,0.9108069999999999
Low,Underpair,10,90,436.80225200000007,0.0,1.0,C,0.0,0.0
